uri,album,artist_uri,artist,track,url,popularity,added_at,release_date,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,genre score,Liked
spotify:track:2cCWbBmadLbKvr9xddC79R,Silver Side Up,6deZN1bslXzeGvOLaLMOIF,Nickelback,Too Bad,https://open.spotify.com/track/2cCWbBmadLbKvr9xddC79R,59,2020-04-06T15:18:46Z,2001-09-11,2001,0.598,0.808,10,-5.209,1,0.0388,0.00304,0.0,0.147,0.288,128.025,audio_features,2cCWbBmadLbKvr9xddC79R,https://api.spotify.com/v1/tracks/2cCWbBmadLbKvr9xddC79R,https://api.spotify.com/v1/audio-analysis/2cCWbBmadLbKvr9xddC79R,232240,4,-33.0,0
spotify:track:2nIQLI6m0qgjuZ6eO3f7r3,Guru 7.0: The Street Scriptures,6xyaria4AcxjRuJZLkWvMW,Guru,Open House,https://open.spotify.com/track/2nIQLI6m0qgjuZ6eO3f7r3,24,2020-03-31T21:28:17Z,2008-09-16,2008,0.744,0.739,4,-6.272,0,0.307,0.119,0.0,0.106,0.678,79.245,audio_features,2nIQLI6m0qgjuZ6eO3f7r3,https://api.spotify.com/v1/tracks/2nIQLI6m0qgjuZ6eO3f7r3,https://api.spotify.com/v1/audio-analysis/2nIQLI6m0qgjuZ6eO3f7r3,185582,4,-35.0,0
spotify:track:1EKcXCqix2v6qb6rj2m5Ty,Translucence + Drift Music,36pk438TUUMdX59j1zbvTu,John Foxx,A Delicate Romance,https://open.spotify.com/track/1EKcXCqix2v6qb6rj2m5Ty,25,2020-05-07T19:42:21Z,2003-08-25,2003,0.141,0.0157,0,-33.886,1,0.0396,0.984,0.892,0.111,0.0324,141.339,audio_features,1EKcXCqix2v6qb6rj2m5Ty,https://api.spotify.com/v1/tracks/1EKcXCqix2v6qb6rj2m5Ty,https://api.spotify.com/v1/audio-analysis/1EKcXCqix2v6qb6rj2m5Ty,434733,4,-36.0,0
spotify:track:14ymPtb1n06KzSm0J9bmMZ,Brian McComas,57oPg5vpE4vyip60by74tq,Brian McComas,99.9% Sure (I've Never Been Here Before),https://open.spotify.com/track/14ymPtb1n06KzSm0J9bmMZ,33,2020-04-02T13:36:38Z,2003-01-01,2003,0.606,0.959,7,-3.412,1,0.0522,0.0714,0.0,0.236,0.734,116.014,audio_features,14ymPtb1n06KzSm0J9bmMZ,https://api.spotify.com/v1/tracks/14ymPtb1n06KzSm0J9bmMZ,https://api.spotify.com/v1/audio-analysis/14ymPtb1n06KzSm0J9bmMZ,193293,4,-36.0,0
spotify:track:4KLRtj98NPcVOBSrBzk6tU,Swedish Death Metal,5c8Cw62ZYj9XO6iDLRDEsi,Various Artists,Megalomania,https://open.spotify.com/track/4KLRtj98NPcVOBSrBzk6tU,8,2020-05-04T13:55:25Z,2009-02-27,2009,0.133,0.745,7,-8.36,1,0.0449,1.22e-05,0.925,0.078,0.246,80.799,audio_features,4KLRtj98NPcVOBSrBzk6tU,https://api.spotify.com/v1/tracks/4KLRtj98NPcVOBSrBzk6tU,https://api.spotify.com/v1/audio-analysis/4KLRtj98NPcVOBSrBzk6tU,301000,3,-36.0,0
spotify:track:5iV7MYBfzSIPLeP3nzNQYp,Annihilation of the Wicked,3v3VSKylQE69ztn5TUVlFE,Nile,Sacrifice Unto Sebek,https://open.spotify.com/track/5iV7MYBfzSIPLeP3nzNQYp,38,2020-05-07T19:48:01Z,2005-05-24,2005,0.114,0.959,11,-6.676,0,0.158,1.41e-05,0.883,0.097,0.0688,184.136,audio_features,5iV7MYBfzSIPLeP3nzNQYp,https://api.spotify.com/v1/tracks/5iV7MYBfzSIPLeP3nzNQYp,https://api.spotify.com/v1/audio-analysis/5iV7MYBfzSIPLeP3nzNQYp,182947,5,-36.0,0
spotify:track:6YTOLMRTnLAdPOo1kxjNoZ,"The Metal Opera, Pt. I",1Ih0fEQQsy9EeAJbYEeQRa,Avantasia,Avantasia,https://open.spotify.com/track/6YTOLMRTnLAdPOo1kxjNoZ,45,2020-04-29T15:14:23Z,2001-01-22,2001,0.483,0.936,11,-5.022,1,0.0383,4.51e-05,0.0,0.148,0.475,131.574,audio_features,6YTOLMRTnLAdPOo1kxjNoZ,https://api.spotify.com/v1/tracks/6YTOLMRTnLAdPOo1kxjNoZ,https://api.spotify.com/v1/audio-analysis/6YTOLMRTnLAdPOo1kxjNoZ,331533,4,-37.0,0
spotify:track:2AzA784JhnlTimX0FtiKX9,"The Metal Opera, Pt. I",1Ih0fEQQsy9EeAJbYEeQRa,Avantasia,The Glory of Rome,https://open.spotify.com/track/2AzA784JhnlTimX0FtiKX9,34,2020-05-07T19:49:25Z,2001-01-22,2001,0.442,0.941,11,-5.166,1,0.0482,4.45e-06,3.19e-06,0.236,0.365,90.977,audio_features,2AzA784JhnlTimX0FtiKX9,https://api.spotify.com/v1/tracks/2AzA784JhnlTimX0FtiKX9,https://api.spotify.com/v1/audio-analysis/2AzA784JhnlTimX0FtiKX9,329160,4,-37.0,0
spotify:track:1X6PI85wbNYLFRAQX6SgeB,The Antichrist,5d6KI8frPEo3qGsIL8Sak2,Destruction,Thrash Till Death,https://open.spotify.com/track/1X6PI85wbNYLFRAQX6SgeB,0,2020-04-29T15:12:17Z,2001-08-27,2001,0.145,0.988,1,-3.131,1,0.0833,4.68e-06,0.00755,0.293,0.215,187.88,audio_features,1X6PI85wbNYLFRAQX6SgeB,https://api.spotify.com/v1/tracks/1X6PI85wbNYLFRAQX6SgeB,https://api.spotify.com/v1/audio-analysis/1X6PI85wbNYLFRAQX6SgeB,263533,4,-37.0,0
spotify:track:1PJSHuwghcl1htfLf4KvBV,Metal Discharge,5d6KI8frPEo3qGsIL8Sak2,Destruction,The Ravenous Beast,https://open.spotify.com/track/1PJSHuwghcl1htfLf4KvBV,12,2020-04-06T13:49:35Z,2003-09-22,2003,0.419,0.988,3,-2.241,0,0.111,0.000304,0.589,0.289,0.378,97.036,audio_features,1PJSHuwghcl1htfLf4KvBV,https://api.spotify.com/v1/tracks/1PJSHuwghcl1htfLf4KvBV,https://api.spotify.com/v1/audio-analysis/1PJSHuwghcl1htfLf4KvBV,189133,4,-37.0,0
